12643	37,62698722	55,83274949	Интерактивная экскурсия «Путешествие Буковки в музее «Слово». Знакомство со сказочными животными»	not free	Экскурсия	4
20837	37,60678607	55,82572194	Бесплатный клуб по фрисби	free	Спорт	5
17260	37,62227977	55,8340866	Экскурсии в вертолете Ми-8	free	Экскурсия	6
25710	37,61684847	55,83958507	Экскурсии в Музее кино	free	Экскурсия	7
13423	37,62834299	55,82907903	Детский праздник в Театре сказок	free	Развлечение	8
25712	37,61960486	55,83372247	Экскурсии в павильоне №25 «Нефть»	free	Экскурсия	9
3697	37,62698722	55,83274949	Постоянная экспозиция в Музее славянской письменности «Слово»	not free	Выставка	1
3954	37,61649335	55,83230635	Детский скалодром Funtopia	free	Спорт	2
25716	37,62950291	55,82873366	Обзорные экскурсии в Музее городского хозяйства Москвы	free	Экскурсия	3
25717	37,62748588	55,83125581	«Завтрак у Тиффани». Концерт оркестра NÉOrchestra	not free	Развлечение	4
14968	37,62509146	55,83117309	Дружеские забеги по субботам	free	Спорт	5
17016	37,61975062	55,83494285	Выставка «12 признаков живого»	free	Выставка	6
17018	37,61864019	55,83493652	Постоянная экспозиция Центра современных биотехнологий Музея «Биотех»	free	Выставка	7
13437	37,62189531	55,83507858	Экскурсия «Путешествие в космос»	free	Экскурсия	8
26749	37,61823785	55,83574682	Тематические экскурсии «Невероятные муравьи»	not free	Экскурсия	9
13438	37,62698722	55,83274949	Экскурсия «Путешествие в мир кириллицы»	free	Экскурсия	1
1408	37,62298921	55,83216868	Постоянная экспозиция интерактивного музейного комплекса «Буран»	free	Выставка	2
10368	37,62189531	55,83507858	Бесплатные экскурсии в центре «Космонавтика и авиация»	free	Экскурсия	3
10369	37,62698722	55,83274949	Бесплатные экскурсии в музее «Слово»	free	Экскурсия	4
10371			Космические экскурсии	free	Экскурсия	5
26755	37,61823785	55,83574682	Тематические экскурсии «Порхающие цветы»	not free	Экскурсия	6
10372	37,62698722	55,83274949	Экскурсии по славянской письменности	free	Экскурсия	7
30084	37,62748588	55,83125581	Концерт Оркестра волынщиков Москвы	not free	Развлечение	8
6533	37,61823785	55,83574682	Экскурсии в экоцентре «Цветоводство»	not free	Экскурсия	9
30087	37,62748588	55,83125581	«Viva Сuba». Концерт Hot Havana Оrchestra	not free	Развлечение	1
30088	37,62748588	55,83125581	«Приходите в мой дом». Концерт Вики Цыгановой	not free	Развлечение	2
30089	37,62748588	55,83125581	«Людовико Эйнауди». Концерт HighTime Оrchestra	free	Развлечение	3
29583	37,62189531	55,83507858	Обзорная экскурсия для маломобильных посетителей	free	Экскурсия	4
30095	37,62698722	55,83274949	Паблик-ток «Мама, я гуманитарий»	free	Лекции и мастер-классы	5
