id маршрута,теги,время (в часах)
Москвовед 2.0,"СССР, история, Россия",2
ВДНХ о России,"СССР, история, Россия",2
Слово и Оттепель,"СССР, история, Россия",3
Научиться новому,"Детский, Образовательная",3
Весело с детьми,Детский,3
Флора и фауна ВДНХ,"Детский, природа",4
Книгоманам,Образовательная,2
Инновации,Образовательная,2
Природный,природа,4
картина полей и Экспозиция экосистем,природа,3
